Wavelength [nm],Rd [-],Tt [-]
666.49,0.2536,0.44989
666.933,0.25388,0.45005
667.375,0.25292,0.45036
667.818,0.25302,0.45164
668.261,0.25335,0.45117
668.703,0.25255,0.45195
669.146,0.25254,0.45225
669.589,0.25242,0.45297
670.031,0.25256,0.45249
670.474,0.25257,0.4528
670.916,0.25284,0.45382
671.359,0.25281,0.45327
671.801,0.25237,0.45365
672.244,0.25257,0.45375
672.686,0.25217,0.45396
673.129,0.25293,0.45456
673.571,0.25219,0.45581
674.013,0.25126,0.45611
674.456,0.25189,0.45568
674.898,0.25128,0.45647
675.34,0.25252,0.4571
675.782,0.25113,0.45768
676.224,0.25231,0.45732
676.667,0.25118,0.45824
677.109,0.25151,0.45807
677.551,0.25107,0.4592
677.993,0.25141,0.45925
678.435,0.25041,0.45955
678.877,0.25068,0.45916
679.319,0.2508,0.46017
679.761,0.25069,0.4611
680.203,0.25052,0.46154
680.645,0.2509,0.46072
681.087,0.25055,0.4619
681.529,0.25045,0.46141
681.97,0.24984,0.46258
682.412,0.25084,0.46246
682.854,0.25013,0.46249
683.296,0.2506,0.46286
683.737,0.25027,0.4635
684.179,0.24939,0.4642
684.621,0.24954,0.46455
685.062,0.25109,0.46434
685.504,0.25085,0.46484
685.945,0.2492,0.46576
686.387,0.24936,0.46527
686.828,0.24832,0.46631
687.27,0.2496,0.46639
687.711,0.25021,0.4668
688.153,0.24942,0.46786
688.594,0.24954,0.46753
689.035,0.24952,0.46868
689.477,0.24851,0.46808
689.918,0.24917,0.46893
690.359,0.24871,0.46896
690.801,0.24889,0.47035
691.242,0.24837,0.46955
691.683,0.24815,0.47054
692.124,0.24807,0.47047
692.565,0.24876,0.47137
693.006,0.24783,0.4714
693.447,0.24857,0.47298
693.889,0.24751,0.4719
694.33,0.24744,0.47245
694.771,0.24722,0.47301
695.211,0.24839,0.47327
695.652,0.24786,0.47418
696.093,0.24699,0.47466
696.534,0.24785,0.47487
696.975,0.24717,0.47464
697.416,0.24716,0.47608
697.857,0.24809,0.47635
698.297,0.24674,0.4763
698.738,0.2467,0.47733
699.179,0.2471,0.47633
699.619,0.2453,0.47708
400.047,0.08281,0.06107
400.506,0.08005,0.06123
400.964,0.08031,0.05896
401.423,0.07724,0.05643
401.881,0.07595,0.05603
402.34,0.07603,0.05511
402.798,0.07423,0.05455
403.256,0.07032,0.05396
403.715,0.0711,0.05237
404.173,0.07095,0.05114
404.631,0.06771,0.05007
405.09,0.06666,0.05016
405.548,0.06729,0.04889
406.006,0.06494,0.0485
406.464,0.06332,0.04718
406.923,0.06344,0.04758
407.381,0.06263,0.04578
407.839,0.06311,0.045
408.297,0.06038,0.04621
408.755,0.06013,0.04395
409.213,0.06098,0.04401
409.671,0.0603,0.04349
410.129,0.06054,0.04283
410.587,0.05722,0.04277
411.045,0.05771,0.0424
411.503,0.05904,0.04299
411.961,0.05695,0.04177
412.419,0.05862,0.04288
412.876,0.05785,0.04197
413.334,0.05604,0.04214
413.792,0.05602,0.04286
414.25,0.05693,0.04304
414.708,0.05771,0.04308
415.165,0.05823,0.04418
415.623,0.05837,0.04482
416.081,0.05651,0.0446
416.538,0.058,0.04508
416.996,0.05836,0.04643
417.454,0.05979,0.04672
417.911,0.06066,0.04693
418.369,0.06047,0.04853
418.826,0.06171,0.05014
419.284,0.0611,0.05043
419.741,0.06274,0.05175
420.199,0.06437,0.05262
420.656,0.06479,0.05421
421.113,0.06556,0.05565
421.571,0.06708,0.05703
422.028,0.06971,0.05857
422.485,0.07087,0.06001
422.943,0.07219,0.06234
423.4,0.07337,0.06428
423.857,0.07483,0.06656
424.314,0.07594,0.06689
424.772,0.079,0.06956
425.229,0.08037,0.07155
425.686,0.08206,0.07343
426.143,0.08379,0.07511
426.6,0.08633,0.07737
427.057,0.08788,0.08007
427.514,0.0896,0.08147
427.971,0.09238,0.08327
428.428,0.09353,0.0858
428.885,0.09638,0.08766
429.342,0.09853,0.08991
429.799,0.09872,0.09244
430.256,0.10292,0.09472
430.713,0.10438,0.0962
431.17,0.10627,0.09864
431.627,0.11004,0.10101
432.083,0.1114,0.10268
432.54,0.11546,0.10489
432.997,0.11652,0.10728
433.454,0.11844,0.10973
433.91,0.12207,0.11244
434.367,0.12451,0.11438
434.824,0.1271,0.11713
435.28,0.12945,0.11867
435.737,0.13153,0.12114
436.193,0.13466,0.12338
436.65,0.13709,0.12481
437.106,0.13919,0.12766
437.563,0.1426,0.12926
438.019,0.14465,0.13122
438.476,0.1476,0.13411
438.932,0.15034,0.13641
439.388,0.15284,0.13794
439.845,0.15423,0.13981
440.301,0.15741,0.14223
440.757,0.159,0.14375
441.214,0.16106,0.14614
441.67,0.16491,0.1477
442.126,0.16753,0.14983
442.582,0.16924,0.15208
443.039,0.17183,0.15428
443.495,0.17333,0.1552
443.951,0.17585,0.15703
444.407,0.17809,0.1588
444.863,0.17987,0.16078
445.319,0.18201,0.16268
445.775,0.1839,0.16368
446.231,0.18652,0.16559
446.687,0.18928,0.16692
447.143,0.18989,0.16833
447.599,0.1915,0.17018
448.055,0.19356,0.17152
448.511,0.19506,0.173
448.967,0.19601,0.1739
449.422,0.19871,0.17457
449.878,0.20014,0.17632
450.334,0.20135,0.17762
450.79,0.20201,0.17895
451.245,0.2038,0.17965
451.701,0.20567,0.1807
452.157,0.20655,0.18204
452.612,0.20807,0.18283
453.068,0.20981,0.18448
453.524,0.21115,0.18587
453.979,0.21193,0.1867
454.435,0.21286,0.18759
454.89,0.21454,0.18865
455.346,0.21588,0.18978
455.801,0.2157,0.19103
456.257,0.21734,0.192
456.712,0.2183,0.19201
457.168,0.21889,0.19395
457.623,0.22136,0.19448
458.078,0.22179,0.1959
458.534,0.22239,0.19667
458.989,0.22364,0.19744
459.444,0.22467,0.1982
459.899,0.22589,0.19931
460.354,0.22674,0.20004
460.81,0.22744,0.20096
461.265,0.22867,0.20199
461.72,0.22965,0.20262
462.175,0.22969,0.20404
462.63,0.23096,0.20423
463.085,0.23156,0.20514
463.54,0.23226,0.206
463.995,0.23373,0.2059
464.45,0.23389,0.20707
464.905,0.23502,0.20807
465.36,0.23585,0.20864
465.815,0.23672,0.21008
466.27,0.23739,0.21009
466.725,0.2374,0.21078
467.18,0.23826,0.21154
467.634,0.23887,0.21237
